index,x,y,z,rx,ry,rz
159,0.0710695,0.287133,0.208219,3.06185,-0.288731,1.7303
160,0.0697128,0.286334,0.209138,3.06242,-0.280054,1.73255
161,0.0683585,0.285527,0.210051,3.06298,-0.271372,1.73481
162,0.0670065,0.284713,0.210958,3.06354,-0.262687,1.73707
163,0.065657,0.283891,0.211859,3.06409,-0.253998,1.73933
164,0.0643099,0.283061,0.212754,3.06464,-0.245305,1.7416
165,0.0629654,0.282224,0.213643,3.06517,-0.236609,1.74387
166,0.0616234,0.281379,0.214526,3.0657,-0.227909,1.74615
167,0.0602841,0.280527,0.215402,3.06623,-0.219205,1.74843
168,0.0589474,0.279668,0.216273,3.06674,-0.210498,1.75072
169,0.0576135,0.278801,0.217137,3.06725,-0.201788,1.75301
170,0.0562824,0.277927,0.217995,3.06775,-0.193074,1.75531
171,0.0549541,0.277045,0.218847,3.06825,-0.184357,1.75761
172,0.0536288,0.276156,0.219693,3.06873,-0.175637,1.75992
173,0.0523063,0.27526,0.220533,3.06921,-0.166914,1.76223
174,0.0509869,0.274356,0.221366,3.06968,-0.158188,1.76455
175,0.0496704,0.273446,0.222193,3.07014,-0.149459,1.76687
176,0.0483571,0.272528,0.223014,3.07059,-0.140727,1.7692
177,0.047047,0.271603,0.223829,3.07104,-0.131992,1.77153
178,0.04574,0.270671,0.224637,3.07147,-0.123254,1.77387
179,0.0444363,0.269731,0.225439,3.0719,-0.114514,1.77622
180,0.0431358,0.268785,0.226235,3.07232,-0.105771,1.77857
181,0.0418387,0.267832,0.227024,3.07273,-0.0970251,1.78093
182,0.040545,0.266871,0.227807,3.07313,-0.0882772,1.7833
183,0.0392548,0.265904,0.228584,3.07352,-0.0795268,1.78567
184,0.037968,0.26493,0.229354,3.0739,-0.0707741,1.78805
185,0.0366848,0.263949,0.230118,3.07427,-0.0620192,1.79044
186,0.0354052,0.262961,0.230876,3.07463,-0.0532621,1.79283
187,0.0341292,0.261966,0.231627,3.07498,-0.0445029,1.79523
188,0.032857,0.260964,0.232372,3.07532,-0.0357417,1.79764
189,0.0315884,0.259956,0.233111,3.07564,-0.0269785,1.80006
190,0.0303236,0.258941,0.233843,3.07596,-0.0182135,1.80249
191,0.0290627,0.25792,0.234568,3.07627,-0.00944664,1.80492
192,0.0278057,0.256891,0.235287,3.07657,-0.000678084,1.80736
193,0.0265526,0.255857,0.236,3.07685,0.00809212,1.80981
194,0.0253034,0.254815,0.236706,3.07712,0.0168639,1.81227
195,0.0240583,0.253767,0.237406,3.07738,0.0256372,1.81474
196,0.0228173,0.252713,0.238099,3.07763,0.0344118,1.81722
197,0.0215804,0.251652,0.238786,3.07787,0.0431878,1.81971
198,0.0203476,0.250585,0.239467,3.07809,0.0519651,1.82221
199,0.0191191,0.249511,0.24014,3.0783,0.0607435,1.82471
200,0.0178948,0.248431,0.240808,3.0785,0.069523,1.82723
201,0.0166748,0.247345,0.241468,3.07868,0.0783035,1.82976
202,0.0154592,0.246253,0.242123,3.07885,0.087085,1.8323
203,0.014248,0.245154,0.24277,3.07901,0.0958673,1.83485
204,0.0130412,0.244049,0.243411,3.07915,0.10465,1.83741
205,0.0118389,0.242938,0.244046,3.07928,0.113434,1.83999
206,0.0106411,0.241821,0.244674,3.0794,0.122218,1.84257
207,0.00944794,0.240698,0.245295,3.0795,0.131003,1.84517
208,0.00825937,0.239569,0.24591,3.07958,0.139788,1.84778
209,0.00707547,0.238435,0.246518,3.07965,0.148574,1.8504
210,0.00589627,0.237294,0.24712,3.0797,0.15736,1.85304
211,0.00472183,0.236147,0.247715,3.07974,0.166146,1.85568
212,0.00355219,0.234995,0.248304,3.07976,0.174932,1.85835
213,0.00238738,0.233836,0.248885,3.07977,0.183718,1.86102
214,0.00122746,0.232672,0.249461,3.07975,0.192504,1.86371
215,7.24671e-05,0.231503,0.250029,3.07972,0.201289,1.86642
216,-0.00107756,0.230327,0.250591,3.07968,0.210075,1.86914
217,-0.00222258,0.229146,0.251147,3.07961,0.218859,1.87187
218,-0.00336254,0.22796,0.251695,3.07953,0.227644,1.87462
219,-0.00449741,0.226768,0.252237,3.07943,0.236428,1.87739
220,-0.00562715,0.225571,0.252773,3.0793,0.245211,1.88017
221,-0.0067517,0.224368,0.253301,3.07916,0.253993,1.88297
222,-0.00787104,0.22316,0.253823,3.079,0.262774,1.88579
223,-0.00898512,0.221946,0.254339,3.07882,0.271555,1.88862
224,-0.0100939,0.220727,0.254848,3.07862,0.280334,1.89147
225,-0.0111973,0.219503,0.25535,3.0784,0.289112,1.89434
226,-0.0122954,0.218274,0.255845,3.07815,0.297889,1.89723
227,-0.0133881,0.21704,0.256334,3.07789,0.306664,1.90014
228,-0.0144752,0.2158,0.256816,3.0776,0.315438,1.90307
229,-0.0155569,0.214556,0.257291,3.07729,0.32421,1.90602
230,-0.0166331,0.213306,0.25776,3.07695,0.33298,1.90899
231,-0.0177037,0.212052,0.258222,3.07659,0.341748,1.91198
232,-0.0187686,0.210793,0.258677,3.07621,0.350515,1.91499
233,-0.019828,0.209528,0.259125,3.0758,0.359279,1.91803
234,-0.0208816,0.20826,0.259567,3.07537,0.368041,1.92108
235,-0.0219295,0.206986,0.260003,3.07491,0.376801,1.92416
236,-0.0229716,0.205707,0.260431,3.07442,0.385558,1.92727
237,-0.024008,0.204424,0.260853,3.07391,0.394312,1.9304
238,-0.0250385,0.203137,0.261268,3.07337,0.403064,1.93355
239,-0.0260631,0.201845,0.261676,3.0728,0.411813,1.93673
240,-0.0270819,0.200548,0.262078,3.0722,0.420558,1.93994
241,-0.0280947,0.199247,0.262473,3.07157,0.429301,1.94317
242,-0.0291015,0.197942,0.262861,3.07092,0.43804,1.94643
243,-0.0301023,0.196632,0.263243,3.07023,0.446776,1.94972
244,-0.031097,0.195318,0.263618,3.06951,0.455508,1.95304
245,-0.0320857,0.193999,0.263986,3.06875,0.464236,1.95639
246,-0.0330683,0.192677,0.264347,3.06797,0.472961,1.95976
247,-0.0340447,0.19135,0.264702,3.06715,0.481681,1.96317
248,-0.0350149,0.190019,0.26505,3.06629,0.490397,1.96662
249,-0.0359789,0.188684,0.265392,3.0654,0.499109,1.97009
250,-0.0369367,0.187346,0.265726,3.06448,0.507816,1.9736
251,-0.0378882,0.186003,0.266054,3.06351,0.516518,1.97714
252,-0.0388334,0.184656,0.266376,3.06251,0.525216,1.98072
253,-0.0397722,0.183306,0.26669,3.06147,0.533908,1.98434
254,-0.0407047,0.181952,0.266998,3.06039,0.542595,1.98799
255,-0.0416307,0.180594,0.2673,3.05927,0.551277,1.99168
256,-0.0425504,0.179232,0.267594,3.0581,0.559953,1.99541
257,-0.0434635,0.177867,0.267882,3.0569,0.568623,1.99918
258,-0.0443702,0.176499,0.268163,3.05565,0.577287,2.003
259,-0.0452703,0.175126,0.268438,3.05435,0.585945,2.00685
260,-0.0461639,0.173751,0.268706,3.05301,0.594596,2.01075
261,-0.0470509,0.172372,0.268967,3.05162,0.60324,2.0147
262,-0.0479313,0.170989,0.269222,3.05018,0.611878,2.01869
263,-0.048805,0.169604,0.269469,3.04869,0.620508,2.02273
264,-0.0496721,0.168215,0.269711,3.04715,0.629131,2.02681
265,-0.0505325,0.166823,0.269945,3.04556,0.637746,2.03095
266,-0.0513861,0.165428,0.270173,3.04391,0.646353,2.03514
267,-0.052233,0.164029,0.270395,3.04221,0.654952,2.03938
268,-0.0530732,0.162628,0.27061,3.04045,0.663543,2.04368
269,-0.0539065,0.161224,0.270818,3.03863,0.672125,2.04803
270,-0.054733,0.159817,0.271019,3.03675,0.680698,2.05244
271,-0.0555527,0.158407,0.271214,3.03481,0.689261,2.05692
272,-0.0563654,0.156994,0.271402,3.03281,0.697815,2.06145
273,-0.0571713,0.155579,0.271584,3.03074,0.706359,2.06604
274,-0.0579702,0.154161,0.271759,3.0286,0.714892,2.0707
275,-0.0587622,0.15274,0.271928,3.0264,0.723415,2.07543
276,-0.0595472,0.151317,0.27209,3.02412,0.731928,2.08022
277,-0.0603253,0.149891,0.272245,3.02177,0.740428,2.08509
278,-0.0610962,0.148463,0.272394,3.01934,0.748917,2.09003
279,-0.0618602,0.147032,0.272536,3.01684,0.757394,2.09504
280,-0.0626171,0.1456,0.272672,3.01426,0.765859,2.10013
281,-0.0633669,0.144164,0.272801,3.01159,0.77431,2.10531
282,-0.0641096,0.142727,0.272924,3.00884,0.782748,2.11056
283,-0.0648451,0.141287,0.27304,3.006,0.791173,2.1159
284,-0.0655735,0.139846,0.273149,3.00308,0.799583,2.12133
285,-0.0662948,0.138402,0.273253,3.00006,0.807978,2.12684
286,-0.0670088,0.136956,0.273349,2.99694,0.816359,2.13245
287,-0.0677157,0.135509,0.273439,2.99373,0.824723,2.13816
288,-0.0684153,0.134059,0.273523,2.99041,0.833071,2.14396
289,-0.0691077,0.132608,0.2736,2.98699,0.841403,2.14987
290,-0.0697928,0.131155,0.273671,2.98346,0.849717,2.15589
291,-0.0704706,0.1297,0.273735,2.97982,0.858013,2.16201
292,-0.0711411,0.128244,0.273793,2.97606,0.86629,2.16825
293,-0.0718043,0.126786,0.273845,2.97219,0.874548,2.1746
294,-0.0724602,0.125327,0.27389,2.96819,0.882786,2.18108
295,-0.0731087,0.123866,0.273928,2.96406,0.891004,2.18768
296,-0.0737498,0.122404,0.27396,2.9598,0.899199,2.19441
297,-0.0743836,0.12094,0.273986,2.95541,0.907373,2.20127
298,-0.0750099,0.119475,0.274006,2.95088,0.915524,2.20827
299,-0.0756289,0.118009,0.274019,2.9462,0.92365,2.21542
300,-0.0762404,0.116542,0.274026,2.94137,0.931752,2.22271
