Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_shoulder_roll_Link,0.0066625,-0.0055601,-0.059897,0,0,0,1.6,0.00372242,5.255E-05,0.00072008,0.00515511,0.00012259,0.00287017,0,0,0,0,0,0,package://franzi_description/meshes/right_shoulder_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_shoulder_roll_Link.STL,,right_shoulder_roll_link-2,cs2r,axis2r,right_shoulder_roll_joint,revolute,0,-0.0725,0,0,0,0,right_shoulder_pitch_Link,1,0,0,100,3.14,-3.14,0.52,,,,,,,,
right_shoulder_yaw_Link,0.0052547,-2.5343E-06,-0.086479,0,0,0,1.43,0.00481227,5E-08,-0.00057088,0.00498095,8.2E-07,0.00136551,0,0,0,0,0,0,package://franzi_description/meshes/right_shoulder_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_shoulder_yaw_Link.STL,,right_shoulder_yaw_link-2,cs3r,axis3r,right_shoulder_yaw_joint,revolute,0,0,-0.118,0,0,0,right_shoulder_roll_Link,0,0,1,100,3.14,-2.97,2.97,,,,,,,,
right_elbow_pitch_Link,-0.018819,-0.0031387,-0.061581,0,0,0,1.54,0.0029626,-9.505E-05,8.652E-05,0.0026547,-0.00029061,0.0017735,0,0,0,0,0,0,package://franzi_description/meshes/right_elbow_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_elbow_pitch_Link.STL,,right_elbow_pitch_link-2,cs4r,axis4r,right_elbow_pitch_joint,revolute,0.017,0,-0.145,0,0,0,right_shoulder_yaw_Link,0,1,0,100,3.14,-2.62,0.13,,,,,,,,
right_wrist_yaw_Link,-2.77E-06,3.303E-05,-0.056465,0,0,0,1,0.0025947,5E-08,-9.3E-07,0.002418,9.48E-06,0.00097842,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_yaw_Link.STL,,right_wrist_yaw_link-2,cs5r,axis5r,right_wrist_yaw_joint,revolute,-0.017,0,-0.1262,0,0,0,right_elbow_pitch_Link,0,0,1,100,3.14,-2.97,2.97,,,,,,,,
right_wrist_pitch_Link,-0.0010025,0.0011828,0.011382,0,0,0,0.76,0.00067253,1E-07,8.3E-06,0.00068203,2.44E-06,0.00046634,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_pitch_Link.STL,,right_wrist_pitch_link-2,cs6r,axis6r,right_wrist_pitch_joint,revolute,0,0,-0.1658,0,0,0,right_wrist_yaw_Link,0,1,0,100,3.14,-1.05,1.05,,,,,,,,
right_wrist_roll_Link,-0.023095,-0.012295,-0.11762,0,0,0,1.5,0.0011746,2.066E-05,0.00015951,0.0013054,-2.74E-06,0.00049085,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_roll_Link.STL,,right_wrist_roll_link-1,cs7r,axis7r,right_wrist_roll_joint,revolute,0.0303,0,0,0,0,0,right_wrist_pitch_Link,1,0,0,100,3.14,-1.57,1.57,,,,,,,,
rightfinger1_Link,-0.0047305,-0.00325,-0.011991,0,0,0,0.1,1.104E-05,0,-5E-08,8.66E-06,0,4.22E-06,0,0,0,0,0,0,package://franzi_description/meshes/rightfinger1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/rightfinger1_Link.STL,,R1finger-1,cs8r,axis8r,rightfinger1_joint,prismatic,-0.07795,0.005,-0.22904,0,0,0,right_wrist_roll_Link,1,0,0,100,3.14,0,0.0475,,,,,,,,
rightfinger2_Link,0.0047305,-0.00325,-0.011991,0,0,0,0.1,1.104E-05,0,5E-08,8.66E-06,0,4.22E-06,0,0,0,0,0,0,package://franzi_description/meshes/rightfinger2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/rightfinger2_Link.STL,,R2finger-1,cs9r,axis9r,rightfinger2_joint,prismatic,0.01705,0.005,-0.22904,0,0,0,right_wrist_roll_Link,1,0,0,100,3.14,-0.0475,0,,,,,,,,
right_wrist_d405_Link,0,0,-0.011485,0,0,0,0.3,5.649E-05,0,0,5.643E-05,0,8.648E-05,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_d405_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://franzi_description/meshes/right_wrist_d405_Link.STL,,right_wrist_D405-1,cs_right_d405,axis_right_d405,right_wrist_d405_joint,fixed,-0.0301,-0.057975,-0.13418,3.1416,0,0,right_wrist_roll_Link,0,0,0,,,,,,,,,,,,
body_d435_Link,-4.5863E-06,-0.016445,-0.0079779,0,0,0,0.1,6.254E-05,0,0,9.89E-06,-8.3E-07,6.243E-05,0,0,0,0,0,0,package://franzi_description/meshes/body_d435_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/body_d435_Link.STL,,body_D435_camera-1,cs_body_d435,axis_body_d435,body_d435_joint,fixed,0.10174,0.0175,0.23507,3.1416,0.87128,3.1416,torso_Link,0,0,0,,,,,,,,,,,,
left_front_steering_Link,0,0.024717,-0.037742,0,0,0,1.32,0.003547,0,0,0.0031556,-0.0010889,0.0022099,0,0,0,0,0,0,package://franzi_description/meshes/left_front_steering_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://franzi_description/meshes/left_front_steering_Link.STL,,left_front_steering_link-1,cs_left_front_steering,axis_left_front_steering,left_front_steering_joint,revolute,0.13,0.213,0.1114,0,0,0,base_link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
left_front_wheel_Link,4.7E-06,-0.0012211,1.11E-06,0,0,0,4.85,0.011629,8.8E-07,-3E-08,0.017191,2.1E-07,0.011629,0,0,0,0,0,0,package://franzi_description/meshes/left_front_wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/left_front_wheel_Link.STL,,left_front_wheel_link-1,cs_left_front_wheel,axis_left_front_wheel,left_front_wheel_joint,continuous,0,0,-0.116,0,0,0,left_front_steering_Link,0,1,0,,,,,,,,,,,,
right_front_steering_Link,0,-0.024718,-0.037742,0,0,0,1.32,0.003547,0,0,0.0031556,0.0010889,0.0022099,0,0,0,0,0,0,package://franzi_description/meshes/right_front_steering_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://franzi_description/meshes/right_front_steering_Link.STL,,right_front_steering_link-1,cs_right_front_steering,axis_right_front_steering,right_front_steering_joint,revolute,0.13,-0.213,0.1114,0,0,0,base_link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
right_front_wheel_Link,0,0.0012211,4.8271E-06,0,0,0,4.85,0.011629,-2E-08,-3E-08,0.017191,-9.1E-07,0.011629,0,0,0,0,0,0,package://franzi_description/meshes/right_front_wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/right_front_wheel_Link.STL,,right_front_wheel_link-1,cs_right_front_wheel,axis_right_front_wheel,right_front_wheel_joint,continuous,0,0,-0.116,0,0,0,right_front_steering_Link,0,1,0,,,,,,,,,,,,
rear_steering_Link,6.6536E-09,0.024108,-0.035583,0,0,0,1.32,0.0033137,0,0,0.0029204,-0.0010295,0.0022176,0,0,0,0,0,0,package://franzi_description/meshes/rear_steering_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://franzi_description/meshes/rear_steering_Link.STL,,rear_steering_link-1,cs_rear_steering,axis_rear_steering,rear_steering_joint,revolute,-0.255,0,0.1054,0,0,0,base_link,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
rear_wheel_Link,4.83E-06,-0.0012211,0,0,0,0,4.85,0.011629,9.1E-07,-3E-08,0.017191,0,0.011629,0,0,0,0,0,0,package://franzi_description/meshes/rear_wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/rear_wheel_Link.STL,,rear_wheel_link-1,cs_rear_wheel,axis_rear_wheel,rear_wheel_joint,continuous,0,0,-0.11,0,0,0,rear_steering_Link,0,1,0,,,,,,,,,,,,
MID360_Link,-0.00013968,-0.00014905,-0.012336,0,0,0,0.5,0.00024772,9.37E-06,-8E-08,0.00024768,1E-08,0.00025527,0,0,0,0,0,0,package://franzi_description/meshes/MID360_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/MID360_Link.STL,,MID360_lidar-1,cs_3d_lidar,axis_3Dlidar,MID360_joint,fixed,0.0765,0.1954,0.24623,0,0,0,base_link,0,0,0,,,,,,,,,,,,
2Dlidar_Link,-0.00052689,0.00052689,-0.012273,0,0,0,0.5,0.00024004,-3.02E-06,4.01E-06,0.00024004,-4.01E-06,0.00045907,0,0,0,0,0,0,package://franzi_description/meshes/2Dlidar_Link.STL,1,1,1,1,0,0,0,0,0,0,package://franzi_description/meshes/2Dlidar_Link.STL,,2D_lidar0-1,cs_2d_lidar,axis_2Dlidar,2Dlidar_joint,fixed,-0.22,-0.19,0.2474,0,0,0,base_link,0,0,0,,,,,,,,,,,,
